          Index             Ts             Tr          Value
                          [°C]           [°C]           [mW]
            519            0.0          111.5       -4.50412
            520            0.0        111.667       -5.03299
            521            0.0        111.833       -5.57888
            522            0.0            112       -6.12829
            523            0.0        112.167       -6.62181
            524            0.0        112.333        -7.0392
            525            0.0          112.5       -7.34176
            526            0.0        112.667       -7.55715
            527            0.0        112.833       -7.58043
            528            0.0            113       -7.52634
            529            0.0        113.167       -7.39232
            530            0.0        113.333       -7.20623
            531            0.0          113.5       -6.89343
            532            0.0        113.667       -6.52054
            533            0.0        113.833       -6.08665
            534            0.0            114        -5.6173
            535            0.0        114.167       -5.13257
            536            0.0        114.333       -4.69194
            537            0.0          114.5        -4.3136
            538            0.0        114.667       -3.97769
            539            0.0        114.833       -3.72428
            540            0.0            115       -3.50149
            541            0.0        115.167        -3.3089
            542            0.0        115.333       -3.13473
            543            0.0          115.5       -2.99655
            544            0.0        115.667       -2.87305
            545            0.0        115.833       -2.76461
            546            0.0            116       -2.66565
            547            0.0        116.167       -2.58577
            548            0.0        116.333       -2.51373
            549            0.0          116.5       -2.45001
            550            0.0        116.667       -2.39178
            551            0.0        116.833        -2.3448
            552            0.0            117       -2.30239
            553            0.0        117.167       -2.26514
            554            0.0        117.333       -2.23159
            555            0.0          117.5       -2.20277
            556            0.0        117.667       -2.17792
            557            0.0        117.833       -2.15571
            558            0.0            118       -2.13529
            559            0.0        118.167       -2.11887
            560            0.0        118.333       -2.10385
            561            0.0          118.5       -2.09061
            562            0.0        118.667       -2.07846
            563            0.0        118.833       -2.06873
            564            0.0            119       -2.06007
            565            0.0        119.167        -2.0527
            566            0.0        119.333        -2.0457
            567            0.0          119.5       -2.04012
            568            0.0        119.667       -2.03478
            569            0.0        119.833       -2.03005
            570            0.0            120       -2.02579
            571            0.0        120.167       -2.02278
            572            0.0        120.333       -2.02009
            573            0.0          120.5       -2.01803
            574            0.0        120.667       -2.01619
            575            0.0        120.833       -2.01465
            576            0.0            121        -2.0131
            577            0.0        121.167       -2.01169
            578            0.0        121.333        -2.0104
            579            0.0          121.5       -2.00963
            580            0.0        121.667       -2.00875
            581            0.0        121.833       -2.00794
