          Index             Ts             Tr          Value,
           4790            0.0        90.8333       0.557924,
           4791            0.0          90.75       0.558068,
           4792            0.0        90.6667       0.558231,
           4793            0.0        90.5833         0.5584,
           4794            0.0           90.5        0.55857,
           4795            0.0        90.4167       0.558792,
           4796            0.0        90.3333       0.558979,
           4797            0.0          90.25       0.559162,
           4798            0.0        90.1667       0.559347,
           4799            0.0        90.0833       0.559496,
           4800            0.0             90       0.559661,
           4801            0.0        89.9167       0.559834,
           4802            0.0        89.8333       0.560005,
           4803            0.0          89.75       0.560174,
           4804            0.0        89.6667       0.560343,
           4805            0.0        89.5833       0.560501,
           4806            0.0           89.5       0.560646,
           4807            0.0        89.4167       0.560781,
           4808            0.0        89.3333       0.560904,
           4809            0.0          89.25       0.561024,
           4810            0.0        89.1667       0.561142,
           4811            0.0        89.0833       0.561254,
           4812            0.0             89       0.561381,
           4813            0.0        88.9167       0.561493,
           4814            0.0        88.8333       0.561602,
           4815            0.0          88.75       0.561781,
           4816            0.0        88.6667       0.561954,
           4817            0.0        88.5833       0.562127,
           4818            0.0           88.5       0.562303,
           4819            0.0        88.4167       0.562487,
           4820            0.0        88.3333       0.562634,
           4821            0.0          88.25       0.562773,
           4822            0.0        88.1667       0.562916,
           4823            0.0        88.0833       0.563012,
           4824            0.0             88       0.563116,
           4825            0.0        87.9167       0.563219,
           4826            0.0        87.8333       0.563328,
           4827            0.0          87.75       0.563444,
           4828            0.0        87.6667       0.563547,
           4829            0.0        87.5833       0.563637,
           4830            0.0           87.5       0.563725,
           4831            0.0        87.4167       0.563848,
           4832            0.0        87.3333       0.563986,
           4833            0.0          87.25       0.564116,
           4834            0.0        87.1667       0.564233,
           4835            0.0        87.0833        0.56437,
           4836            0.0             87       0.564497,
           4837            0.0        86.9167       0.564634,
           4838            0.0        86.8333       0.564772,
           4839            0.0          86.75       0.564874,
           4840            0.0        86.6667       0.564997,
           4841            0.0        86.5833       0.565124,
           4842            0.0           86.5        0.56525,
           4843            0.0        86.4167       0.565362,
           4844            0.0        86.3333       0.565462,
           4845            0.0          86.25       0.565558,
           4846            0.0        86.1667       0.565665,
           4847            0.0        86.0833       0.565777,
           4848            0.0             86       0.565904,
           4849            0.0        85.9167       0.566023,
           4850            0.0        85.8333       0.566141,
           4851            0.0          85.75       0.566312,
           4852            0.0        85.6667        0.56645,
           4853            0.0        85.5833       0.566574,
           4854            0.0           85.5       0.566702,
           4855            0.0        85.4167       0.566852,
           4856            0.0        85.3333       0.567028,
           4857            0.0          85.25       0.567201,
           4858            0.0        85.1667       0.567361,
           4859            0.0        85.0833       0.567533,
           4860            0.0             85        0.56767,
           4861            0.0        84.9167       0.567808,
           4862            0.0        84.8333       0.567955,
           4863            0.0          84.75       0.568092,
           4864            0.0        84.6667       0.568271,
           4865            0.0        84.5833       0.568455,
           4866            0.0           84.5       0.568628,
           4867            0.0        84.4167       0.568851,
           4868            0.0        84.3333       0.569022,
           4869            0.0          84.25       0.569158,
           4870            0.0        84.1667       0.569269,
           4871            0.0        84.0833       0.569277,
           4872            0.0             84       0.569341,
           4873            0.0        83.9167       0.569428,
           4874            0.0        83.8333       0.569532,
           4875            0.0          83.75       0.569626,
           4876            0.0        83.6667        0.56975,
           4877            0.0        83.5833       0.569916,
           4878            0.0           83.5       0.570106,
           4879            0.0        83.4167       0.570348,
           4880            0.0        83.3333       0.570521,
           4881            0.0          83.25       0.570668,
           4882            0.0        83.1667       0.570808,
           4883            0.0        83.0833       0.570923,
           4884            0.0             83        0.57106,
           4885            0.0        82.9167       0.571215,
           4886            0.0        82.8333       0.571371,
           4887            0.0          82.75       0.571538,
           4888            0.0        82.6667       0.571689,
           4889            0.0        82.5833       0.571825,
           4890            0.0           82.5       0.571957,
           4891            0.0        82.4167       0.572067,
           4892            0.0        82.3333       0.572191,
           4893            0.0          82.25       0.572327,
           4894            0.0        82.1667        0.57246,
           4895            0.0        82.0833       0.572567,
           4896            0.0             82       0.572683,
           4897            0.0        81.9167       0.572803,
           4898            0.0        81.8333       0.572919,
           4899            0.0          81.75       0.573045,
           4900            0.0        81.6667        0.57316,
           4901            0.0        81.5833       0.573262,
           4902            0.0           81.5       0.573359,
           4903            0.0        81.4167        0.57344,
           4904            0.0        81.3333       0.573539,
           4905            0.0          81.25        0.57366,
           4906            0.0        81.1667       0.573798,
           4907            0.0        81.0833        0.57391,
           4908            0.0             81       0.574028,
           4909            0.0        80.9167       0.574152,
           4910            0.0        80.8333       0.574273,
           4911            0.0          80.75       0.574391,
           4912            0.0        80.6667       0.574501,
           4913            0.0        80.5833       0.574614,
           4914            0.0           80.5       0.574739,
           4915            0.0        80.4167       0.574852,
           4916            0.0        80.3333       0.574962,
           4917            0.0          80.25       0.575066,
           4918            0.0        80.1667       0.575158,
           4919            0.0        80.0833       0.575243,
           4920            0.0             80       0.575319,
           4921            0.0        79.9167       0.575379,
           4922            0.0        79.8333       0.575429,
           4923            0.0          79.75       0.575455,
           4924            0.0        79.6667       0.575483,
           4925            0.0        79.5833       0.575491,
           4926            0.0           79.5       0.575495,
           4927            0.0        79.4167       0.575475,
           4928            0.0        79.3333       0.575463,
           4929            0.0          79.25       0.575452,
           4930            0.0        79.1667       0.575438,
           4931            0.0        79.0833       0.575426,
           4932            0.0             79       0.575415,
           4933            0.0        78.9167       0.575405,
           4934            0.0        78.8333       0.575399,
           4935            0.0          78.75        0.57544,
           4936            0.0        78.6667       0.575494,
           4937            0.0        78.5833       0.575561,
           4938            0.0           78.5       0.575625,
           4939            0.0        78.4167       0.575739,
           4940            0.0        78.3333       0.575832,
           4941            0.0          78.25       0.575924,
           4942            0.0        78.1667       0.576006,
           4943            0.0        78.0833       0.576055,
           4944            0.0             78       0.576111,
           4945            0.0        77.9167       0.576173,
           4946            0.0        77.8333       0.576232,
           4947            0.0          77.75       0.576247,
           4948            0.0        77.6667       0.576273,
           4949            0.0        77.5833        0.57631,
           4950            0.0           77.5       0.576357,
           4951            0.0        77.4167       0.576426,
           4952            0.0        77.3333       0.576505,
           4953            0.0          77.25       0.576589,
           4954            0.0        77.1667       0.576662,
           4955            0.0        77.0833       0.576775,
           4956            0.0             77       0.576879,
           4957            0.0        76.9167       0.576985,
           4958            0.0        76.8333       0.577096,
           4959            0.0          76.75       0.577207,
           4960            0.0        76.6667       0.577323,
           4961            0.0        76.5833       0.577413,
           4962            0.0           76.5       0.577472,
           4963            0.0        76.4167       0.577515,
           4964            0.0        76.3333       0.577477,
           4965            0.0          76.25       0.577439,
           4966            0.0        76.1667       0.577399,
           4967            0.0        76.0833       0.577358,
           4968            0.0             76       0.577244,
           4969            0.0        75.9167       0.577166,
           4970            0.0        75.8333       0.577094,
           4971            0.0          75.75       0.577019,
           4972            0.0        75.6667       0.577006,
           4973            0.0        75.5833          0.577,
           4974            0.0           75.5       0.577001,
           4975            0.0        75.4167       0.577003,
           4976            0.0        75.3333       0.577082,
           4977            0.0          75.25       0.577149,
           4978            0.0        75.1667       0.577238,
           4979            0.0        75.0833       0.577349,
           4980            0.0             75       0.577523,
           4981            0.0        74.9167       0.577668,
           4982            0.0        74.8333       0.577792,
           4983            0.0          74.75       0.577909,
           4984            0.0        74.6667       0.578062,
           4985            0.0        74.5833       0.578195,
           4986            0.0           74.5       0.578325,
           4987            0.0        74.4167       0.578461,
           4988            0.0        74.3333       0.578617,
           4989            0.0          74.25       0.578789,
           4990            0.0        74.1667       0.578962,
           4991            0.0        74.0833       0.579138,
           4992            0.0             74       0.579365,
           4993            0.0        73.9167       0.579575,
           4994            0.0        73.8333       0.579798,
           4995            0.0          73.75       0.580033,
           4996            0.0        73.6667       0.580265,
           4997            0.0        73.5833       0.580508,
           4998            0.0           73.5       0.580766,
           4999            0.0        73.4167        0.58104,
           5000            0.0        73.3333        0.58137,
           5001            0.0          73.25       0.581709,
           5002            0.0        73.1667       0.582054,
           5003            0.0        73.0833        0.58239,
           5004            0.0             73       0.582767,
           5005            0.0        72.9167       0.583113,
           5006            0.0        72.8333       0.583442,
           5007            0.0          72.75       0.583769,
           5008            0.0        72.6667        0.58406,
           5009            0.0        72.5833       0.584362,
           5010            0.0           72.5       0.584658,
           5011            0.0        72.4167       0.584951,
           5012            0.0        72.3333       0.585231,
           5013            0.0          72.25       0.585489,
           5014            0.0        72.1667       0.585713,
           5015            0.0        72.0833       0.585921,
           5016            0.0             72       0.586054,
           5017            0.0        71.9167       0.586201,
           5018            0.0        71.8333       0.586334,
           5019            0.0          71.75       0.586458,
           5020            0.0        71.6667       0.586501,
           5021            0.0        71.5833       0.586562,
           5022            0.0           71.5       0.586636,
           5023            0.0        71.4167       0.586717,
           5024            0.0        71.3333        0.58673,
           5025            0.0          71.25       0.586755,
           5026            0.0        71.1667       0.586767,
           5027            0.0        71.0833       0.586763,
           5028            0.0             71       0.586757,
           5029            0.0        70.9167       0.586788,
           5030            0.0        70.8333       0.586828,
           5031            0.0          70.75       0.586863,
           5032            0.0        70.6667       0.586941,
           5033            0.0        70.5833        0.58701,
           5034            0.0           70.5       0.587091,
           5035            0.0        70.4167       0.587183,
           5036            0.0        70.3333       0.587287,
           5037            0.0          70.25       0.587371,
           5038            0.0        70.1667       0.587419,
           5039            0.0        70.0833       0.587436,
           5040            0.0             70       0.587402,
           5041            0.0        69.9167        0.58736,
           5042            0.0        69.8333       0.587314,
           5043            0.0          69.75       0.587277,
           5044            0.0        69.6667       0.587181,
           5045            0.0        69.5833       0.587117,
           5046            0.0           69.5       0.587043,
           5047            0.0        69.4167       0.586969,
           5048            0.0        69.3333        0.58692,
           5049            0.0          69.25       0.586853,
           5050            0.0        69.1667       0.586783,
           5051            0.0        69.0833       0.586719,
           5052            0.0             69        0.58667,
           5053            0.0        68.9167       0.586667,
           5054            0.0        68.8333         0.5867,
           5055            0.0          68.75       0.586754,
           5056            0.0        68.6667       0.586909,
           5057            0.0        68.5833       0.587026,
           5058            0.0           68.5       0.587156,
           5059            0.0        68.4167       0.587305,
           5060            0.0        68.3333       0.587465,
           5061            0.0          68.25       0.587606,
           5062            0.0        68.1667       0.587769,
           5063            0.0        68.0833       0.587949,
           5064            0.0             68       0.588139,
           5065            0.0        67.9167       0.588341,
           5066            0.0        67.8333       0.588545,
           5067            0.0          67.75       0.588751,
           5068            0.0        67.6667       0.589003,
           5069            0.0        67.5833       0.589223,
           5070            0.0           67.5       0.589427,
           5071            0.0        67.4167       0.589631,
           5072            0.0        67.3333       0.589832,
           5073            0.0          67.25       0.590041,
           5074            0.0        67.1667       0.590239,
           5075            0.0        67.0833       0.590432,
           5076            0.0             67       0.590612,
           5077            0.0        66.9167       0.590778,
           5078            0.0        66.8333        0.59096,
           5079            0.0          66.75       0.591158,
           5080            0.0        66.6667       0.591338,
           5081            0.0        66.5833       0.591522,
           5082            0.0           66.5       0.591701,
           5083            0.0        66.4167       0.591879,
           5084            0.0        66.3333       0.592082,
           5085            0.0          66.25       0.592265,
           5086            0.0        66.1667       0.592441,
           5087            0.0        66.0833       0.592604,
           5088            0.0             66       0.592719,
           5089            0.0        65.9167       0.592858,
           5090            0.0        65.8333       0.593019,
           5091            0.0          65.75       0.593183,
           5092            0.0        65.6667       0.593346,
           5093            0.0        65.5833       0.593522,
           5094            0.0           65.5       0.593715,
           5095            0.0        65.4167       0.593929,
           5096            0.0        65.3333       0.594196,
           5097            0.0          65.25       0.594432,
           5098            0.0        65.1667       0.594663,
           5099            0.0        65.0833       0.594886,
           5100            0.0             65       0.595098,
           5101            0.0        64.9167       0.595341,
           5102            0.0        64.8333       0.595574,
           5103            0.0          64.75       0.595791,
           5104            0.0        64.6667       0.595998,
           5105            0.0        64.5833       0.596229,
           5106            0.0           64.5       0.596453,
           5107            0.0        64.4167       0.596663,
           5108            0.0        64.3333       0.596868,
           5109            0.0          64.25       0.597048,
           5110            0.0        64.1667       0.597222,
           5111            0.0        64.0833        0.59739,
           5112            0.0             64       0.597553,
           5113            0.0        63.9167       0.597682,
           5114            0.0        63.8333       0.597814,
           5115            0.0          63.75       0.597935,
           5116            0.0        63.6667       0.598043,
           5117            0.0        63.5833       0.598104,
           5118            0.0           63.5       0.598188,
           5119            0.0        63.4167       0.598266,
           5120            0.0        63.3333       0.598331,
           5121            0.0          63.25       0.598341,
           5122            0.0        63.1667       0.598362,
           5123            0.0        63.0833       0.598374,
           5124            0.0             63       0.598368,
           5125            0.0        62.9167       0.598317,
           5126            0.0        62.8333       0.598283,
           5127            0.0          62.75       0.598269,
           5128            0.0        62.6667       0.598275,
           5129            0.0        62.5833       0.598322,
           5130            0.0           62.5       0.598393,
           5131            0.0        62.4167       0.598487,
           5132            0.0        62.3333       0.598591,
           5133            0.0          62.25       0.598796,
           5134            0.0        62.1667       0.598958,
           5135            0.0        62.0833       0.599133,
           5136            0.0             62       0.599333,
           5137            0.0        61.9167       0.599642,
           5138            0.0        61.8333       0.600014,
           5139            0.0          61.75       0.600472,
           5140            0.0        61.6667       0.600994,
           5141            0.0        61.5833       0.601843,
           5142            0.0           61.5       0.602694,
           5143            0.0        61.4167       0.603658,
           5144            0.0        61.3333       0.604711,
           5145            0.0          61.25       0.606208,
           5146            0.0        61.1667       0.607679,
           5147            0.0        61.0833       0.609293,
           5148            0.0             61       0.611026,
           5149            0.0        60.9167       0.613308,
           5150            0.0        60.8333       0.615548,
           5151            0.0          60.75       0.617931,
           5152            0.0        60.6667       0.620432,
           5153            0.0        60.5833         0.6235,
           5154            0.0           60.5       0.626475,
           5155            0.0        60.4167       0.629573,
           5156            0.0        60.3333       0.632793,
           5157            0.0          60.25       0.636543,
           5158            0.0        60.1667       0.640232,
           5159            0.0        60.0833       0.644032,
           5160            0.0             60       0.647935,
           5161            0.0        59.9167       0.652379,
           5162            0.0        59.8333       0.656721,
           5163            0.0          59.75       0.661162,
           5164            0.0        59.6667       0.665706,
           5165            0.0        59.5833       0.670694,
           5166            0.0           59.5       0.675601,
           5167            0.0        59.4167       0.680612,
           5168            0.0        59.3333       0.685733,
           5169            0.0          59.25       0.691331,
           5170            0.0        59.1667        0.69687,
           5171            0.0        59.0833       0.702515,
           5172            0.0             59       0.708255,
           5173            0.0        58.9167       0.714474,
           5174            0.0        58.8333       0.720563,
           5175            0.0          58.75       0.726702,
           5176            0.0        58.6667       0.732902,
           5177            0.0        58.5833       0.739369,
           5178            0.0           58.5       0.745737,
           5179            0.0        58.4167       0.752093,
           5180            0.0        58.3333       0.758447,
           5181            0.0          58.25        0.76486,
           5182            0.0        58.1667       0.771208,
           5183            0.0        58.0833       0.777498,
           5184            0.0             58       0.783738,
           5185            0.0        57.9167       0.789741,
           5186            0.0        57.8333       0.795697,
           5187            0.0          57.75        0.80156,
           5188            0.0        57.6667       0.807343,
           5189            0.0        57.5833       0.812652,
           5190            0.0           57.5       0.818015,
           5191            0.0        57.4167        0.82328,
           5192            0.0        57.3333       0.828466,
           5193            0.0          57.25        0.83322,
           5194            0.0        57.1667       0.838064,
           5195            0.0        57.0833       0.842864,
           5196            0.0             57       0.847623,
           5197            0.0        56.9167       0.852219,
           5198            0.0        56.8333       0.856998,
           5199            0.0          56.75       0.861929,
           5200            0.0        56.6667       0.866981,
           5201            0.0        56.5833       0.872076,
           5202            0.0           56.5       0.877345,
           5203            0.0        56.4167       0.883306,
           5204            0.0        56.3333       0.889839,
           5205            0.0          56.25       0.897418,
           5206            0.0        56.1667       0.906081,
           5207            0.0        56.0833       0.916354,
           5208            0.0             56       0.927765,
           5209            0.0        55.9167       0.943083,
           5210            0.0        55.8333       0.960446,
           5211            0.0          55.75       0.981021,
           5212            0.0        55.6667        1.00487,
           5213            0.0        55.5833        1.03739,
           5214            0.0           55.5        1.07551,
           5215            0.0        55.4167        1.12118,
           5216            0.0        55.3333        1.17264,
           5217            0.0          55.25        1.24043,
           5218            0.0        55.1667        1.31822,
           5219            0.0        55.0833        1.40868,
           5220            0.0             55        1.50823,
           5221            0.0        54.9167        1.63078,
           5222            0.0        54.8333        1.76498,
           5223            0.0          54.75        1.91177,
           5224            0.0        54.6667        2.06657,
           5225            0.0        54.5833        2.23542,
           5226            0.0           54.5        2.40464,
           5227            0.0        54.4167        2.57161,
           5228            0.0        54.3333        2.73348,
           5229            0.0          54.25         2.8703,
           5230            0.0        54.1667        2.98748,
           5231            0.0        54.0833        3.07816,
           5232            0.0             54        3.14896,
           5233            0.0        53.9167         3.1671,
           5234            0.0        53.8333        3.15844,
           5235            0.0          53.75        3.12004,
           5236            0.0        53.6667        3.06209,
           5237            0.0        53.5833        2.96743,
           5238            0.0           53.5        2.85865,
           5239            0.0        53.4167        2.73724,
           5240            0.0        53.3333        2.60942,
           5241            0.0          53.25        2.47361,
           5242            0.0        53.1667         2.3381,
           5243            0.0        53.0833        2.20437,
           5244            0.0             53        2.07374,
           5245            0.0        52.9167        1.95249,
           5246            0.0        52.8333        1.83724,
           5247            0.0          52.75        1.72951,
           5248            0.0        52.6667        1.62699,
           5249            0.0        52.5833        1.53679,
           5250            0.0           52.5        1.45277,
           5251            0.0        52.4167        1.37563,
           5252            0.0        52.3333         1.3031,
           5253            0.0          52.25        1.24057,
           5254            0.0        52.1667        1.18294,
           5255            0.0        52.0833        1.13064,
           5256            0.0             52        1.08182,
           5257            0.0        51.9167        1.04083,
           5258            0.0        51.8333        1.00355,
           5259            0.0          51.75       0.969258,
           5260            0.0        51.6667       0.937149,
           5261            0.0        51.5833       0.910128,
           5262            0.0           51.5       0.885046,
           5263            0.0        51.4167       0.862456,
           5264            0.0        51.3333       0.841457,
           5265            0.0          51.25          0.824,
           5266            0.0        51.1667        0.80784,
           5267            0.0        51.0833       0.793403,
           5268            0.0             51       0.780072,
           5269            0.0        50.9167       0.769084,
           5270            0.0        50.8333       0.759039,
           5271            0.0          50.75       0.750244,
           5272            0.0        50.6667       0.741866,
           5273            0.0        50.5833       0.734612,
           5274            0.0           50.5        0.72835,
           5275            0.0        50.4167       0.723275,
           5276            0.0        50.3333       0.718567,
           5277            0.0          50.25       0.715232,
           5278            0.0        50.1667       0.712221,
           5279            0.0        50.0833       0.709355,
           5280            0.0             50       0.706742,
           5281            0.0        49.9167       0.705064,
           5282            0.0        49.8333       0.703408,
           5283            0.0          49.75       0.702041,
           5284            0.0        49.6667       0.700656,
           5285            0.0        49.5833       0.699818,
           5286            0.0           49.5       0.698875,
           5287            0.0        49.4167       0.697998,
           5288            0.0        49.3333       0.697174,
           5289            0.0          49.25       0.696646,
           5290            0.0        49.1667        0.69601,
           5291            0.0        49.0833       0.695379,
           5292            0.0             49       0.694754,
           5293            0.0        48.9167       0.694126,
           5294            0.0        48.8333       0.693407,
           5295            0.0          48.75       0.692621,
           5296            0.0        48.6667       0.691798,
           5297            0.0        48.5833       0.690732,
           5298            0.0           48.5       0.689656,
           5299            0.0        48.4167        0.68849,
           5300            0.0        48.3333       0.687256,
           5301            0.0          48.25       0.685708,
           5302            0.0        48.1667       0.684207,
           5303            0.0        48.0833       0.682623,
           5304            0.0             48       0.680959,
           5305            0.0        47.9167       0.678945,
           5306            0.0        47.8333       0.676962,
           5307            0.0          47.75         0.6749,
           5308            0.0        47.6667       0.672778,
           5309            0.0        47.5833       0.670371,
           5310            0.0           47.5       0.668282,
           5311            0.0        47.4167       0.666305,
           5312            0.0        47.3333       0.664281,
           5313            0.0          47.25       0.662198,
           5314            0.0        47.1667       0.660211,
           5315            0.0        47.0833       0.657958,
           5316            0.0             47       0.655562,
           5317            0.0        46.9167       0.653098,
           5318            0.0        46.8333       0.650165,
           5319            0.0          46.75       0.647475,
           5320            0.0        46.6667       0.644842,
           5321            0.0        46.5833       0.642214,
           5322            0.0           46.5       0.639701,
           5323            0.0        46.4167       0.637286,
           5324            0.0        46.3333       0.634952,
           5325            0.0          46.25       0.632927,
           5326            0.0        46.1667       0.631532,
           5327            0.0        46.0833       0.630058,
           5328            0.0             46       0.628754,
           5329            0.0        45.9167       0.627882,
           5330            0.0        45.8333       0.628737,
           5331            0.0          45.75       0.633424,
           5332            0.0        45.6667        0.63655,
           5333            0.0        45.5833       0.635639,
           5334            0.0           45.5       0.632294,
           5335            0.0        45.4167       0.629572,
           5336            0.0        45.3333        0.62717,
           5337            0.0          45.25       0.624867,
           5338            0.0        45.1667       0.622716,
           5339            0.0        45.0833       0.620619,
           5340            0.0             45       0.618583,
           5341            0.0        44.9167       0.616493,
           5342            0.0        44.8333       0.614849,
           5343            0.0          44.75        0.61351,
           5344            0.0        44.6667       0.613307,
           5345            0.0        44.5833       0.613828,
           5346            0.0           44.5       0.614389,
           5347            0.0        44.4167       0.613859,
           5348            0.0        44.3333       0.612609,
           5349            0.0          44.25       0.611691,
           5350            0.0        44.1667       0.610421,
           5351            0.0        44.0833       0.609355,
           5352            0.0             44        0.60945,
           5353            0.0        43.9167       0.611311,
           5354            0.0        43.8333       0.611377,
           5355            0.0          43.75       0.610458,
           5356            0.0        43.6667       0.609362,
           5357            0.0        43.5833       0.608339,
           5358            0.0           43.5       0.607312,
           5359            0.0        43.4167       0.606349,
           5360            0.0        43.3333        0.60543,
           5361            0.0          43.25       0.604555,
           5362            0.0        43.1667       0.603917,
           5363            0.0        43.0833       0.603263,
           5364            0.0             43       0.602669,
           5365            0.0        42.9167       0.602124,
           5366            0.0        42.8333       0.601883,
           5367            0.0          42.75       0.601499,
           5368            0.0        42.6667       0.601206,
           5369            0.0        42.5833       0.601064,
           5370            0.0           42.5       0.602683,
           5371            0.0        42.4167       0.606718,
           5372            0.0        42.3333       0.609461,
           5373            0.0          42.25        0.60935,
           5374            0.0        42.1667       0.607803,
           5375            0.0        42.0833       0.606545,
           5376            0.0             42        0.60545,
           5377            0.0        41.9167       0.604441,
           5378            0.0        41.8333       0.603497,
           5379            0.0          41.75       0.602635,
           5380            0.0        41.6667       0.601856,
           5381            0.0        41.5833       0.601115,
           5382            0.0           41.5       0.600641,
           5383            0.0        41.4167       0.600074,
           5384            0.0        41.3333       0.599521,
           5385            0.0          41.25       0.598981,
           5386            0.0        41.1667       0.598566,
           5387            0.0        41.0833       0.598178,
           5388            0.0             41       0.597834,
           5389            0.0        40.9167       0.597504,
           5390            0.0        40.8333       0.597294,
           5391            0.0          40.75       0.597022,
           5392            0.0        40.6667       0.596748,
           5393            0.0        40.5833       0.596479,
           5394            0.0           40.5       0.596219,
           5395            0.0        40.4167       0.595957,
           5396            0.0        40.3333       0.595694,
           5397            0.0          40.25       0.595437,
           5398            0.0        40.1667       0.595234,
           5399            0.0        40.0833       0.595015,
           5400            0.0             40       0.594791,
           5401            0.0        39.9167       0.594578,
           5402            0.0        39.8333       0.594403,
           5403            0.0          39.75       0.594244,
           5404            0.0        39.6667       0.594241,
           5405            0.0        39.5833       0.594422,
           5406            0.0           39.5       0.594753,
           5407            0.0        39.4167       0.594994,
           5408            0.0        39.3333       0.595211,
           5409            0.0          39.25       0.595448,
           5410            0.0        39.1667       0.595625,
           5411            0.0        39.0833       0.595796,
           5412            0.0             39       0.596017,
           5413            0.0        38.9167       0.596252,
           5414            0.0        38.8333       0.596256,
           5415            0.0          38.75       0.596276,
           5416            0.0        38.6667       0.596251,
           5417            0.0        38.5833       0.596182,
           5418            0.0           38.5       0.595916,
           5419            0.0        38.4167       0.595668,
           5420            0.0        38.3333       0.595389,
           5421            0.0          38.25        0.59509,
           5422            0.0        38.1667       0.594927,
           5423            0.0        38.0833       0.594882,
           5424            0.0             38        0.59484,
           5425            0.0        37.9167       0.594783,
           5426            0.0        37.8333       0.594949,
           5427            0.0          37.75       0.594883,
           5428            0.0        37.6667       0.594716,
           5429            0.0        37.5833       0.594505,
           5430            0.0           37.5       0.594046,
           5431            0.0        37.4167       0.593765,
           5432            0.0        37.3333       0.593525,
           5433            0.0          37.25       0.593282,
           5434            0.0        37.1667       0.593217,
           5435            0.0        37.0833       0.593161,
           5436            0.0             37       0.593154,
           5437            0.0        36.9167       0.593236,
           5438            0.0        36.8333       0.593541,
           5439            0.0          36.75       0.593686,
           5440            0.0        36.6667       0.593744,
           5441            0.0        36.5833        0.59376,
           5442            0.0           36.5       0.593686,
           5443            0.0        36.4167       0.593554,
           5444            0.0        36.3333       0.593366,
           5445            0.0          36.25       0.593146,
           5446            0.0        36.1667       0.592703,
           5447            0.0        36.0833       0.592391,
           5448            0.0             36       0.592104,
           5449            0.0        35.9167       0.591822,
           5450            0.0        35.8333       0.591619,
           5451            0.0          35.75       0.591428,
           5452            0.0        35.6667       0.591255,
           5453            0.0        35.5833       0.591094,
           5454            0.0           35.5       0.591036,
           5455            0.0        35.4167       0.590921,
           5456            0.0        35.3333       0.590797,
           5457            0.0          35.25       0.590671,
           5458            0.0        35.1667       0.590542,
           5459            0.0        35.0833        0.59041,
           5460            0.0             35       0.590272,
           5461            0.0        34.9167       0.590133,
           5462            0.0        34.8333       0.590148,
           5463            0.0          34.75       0.590299,
           5464            0.0        34.6667       0.590369,
           5465            0.0        34.5833       0.590472,
           5466            0.0           34.5       0.591453,
           5467            0.0        34.4167        0.59229,
           5468            0.0        34.3333       0.593136,
           5469            0.0          34.25       0.593049,
           5470            0.0        34.1667         0.5921,
           5471            0.0        34.0833       0.591709,
           5472            0.0             34       0.591366,
           5473            0.0        33.9167       0.590969,
           5474            0.0        33.8333       0.590538,
           5475            0.0          33.75        0.59019,
           5476            0.0        33.6667       0.589884,
           5477            0.0        33.5833       0.589597,
           5478            0.0           33.5       0.589455,
           5479            0.0        33.4167        0.58929,
           5480            0.0        33.3333       0.589138,
           5481            0.0          33.25       0.588986,
           5482            0.0        33.1667       0.588899,
           5483            0.0        33.0833       0.588764,
           5484            0.0             33       0.588642,
           5485            0.0        32.9167       0.588531,
           5486            0.0        32.8333       0.588394,
           5487            0.0          32.75       0.588273,
           5488            0.0        32.6667       0.588157,
           5489            0.0        32.5833       0.588045,
           5490            0.0           32.5       0.587986,
           5491            0.0        32.4167       0.587948,
           5492            0.0        32.3333       0.587999,
           5493            0.0          32.25       0.588126,
           5494            0.0        32.1667       0.588365,
           5495            0.0        32.0833       0.588533,
           5496            0.0             32        0.58865,
           5497            0.0        31.9167       0.588733,
           5498            0.0        31.8333       0.588794,
           5499            0.0          31.75       0.588829,
           5500            0.0        31.6667       0.588872,
           5501            0.0        31.5833       0.588907,
           5502            0.0           31.5       0.588789,
           5503            0.0        31.4167       0.588728,
           5504            0.0        31.3333       0.588649,
